valor_liquidado,valor_pago,valor_empenhado,cod_fonte,cod_credor,cod_modalidade_licitacao,cod_empenho,cod_acao,cod_tempo,codigo
127,0,0,0,4805,71,40000,100,20210601,7573
0,0,1167,0,5258,31,40740,51,20210701,9505
500,500,500,0,2905,65,87866,121,20210801,4157
0,52034.25,0,0,3373,71,7215,15,20211101,4945
4198,4198,0,0,5211,71,40685,105,20210801,9336
0,0,100000,0,4909,40,40226,94,20210401,8056
0,2400,0,0,2710,64,87426,77,20210901,3717
119.2,119.2,0,0,221,39,38859,138,20211201,1378
0,900,0,0,724,16,63925,121,20210501,2101
0,0,39353.16,0,787,16,64134,77,20210201,2323
3509.5,3509.5,0,0,5126,3,8781,121,20210901,8905
504,0,504,0,2182,71,6894,77,20211101,3240
22000,22000,22000,0,0,0,81,41,20211101,80
0,0,-5000,0,87,3,5921,94,20211101,1249
0,3180,0,0,3014,71,88112,78,20210901,4403
1500,1500,1500,0,1159,40,6364,110,20210801,2709
4360.89,0,4360.89,0,4307,71,7684,121,20211001,5935
0,1498,0,0,4903,3,8522,121,20210601,8049
1042.24,1042.24,0,0,726,16,63931,122,20211101,2107
0,344.8,0,0,3540,71,64616,121,20210301,5234
0,0,0,0,5021,31,40329,132,20210201,8391
4198,4198,0,0,5211,71,40684,105,20210801,9335
3180,3180,0,0,2779,64,87582,77,20210901,3873
0,0,920,0,3298,71,7188,82,20210901,4896
22946.03,22946.03,0,0,811,16,64239,51,20211101,2440
14000,14000,14000,0,0,0,673,99,20210301,672
2400,0,2400,0,2829,64,87697,77,20211001,3988
0,2700,0,0,5137,46,65658,25,20210301,8974
2932.8,2932.8,2932.8,0,5147,30,8798,99,20210501,8988
0,468,0,0,2182,71,6893,77,20211101,3239
2451.06,2451.06,2451.06,0,0,0,221,77,20211001,220
344.8,0,0,0,3490,71,64400,121,20210801,5018
13725.37,13725.37,13725.37,0,0,0,341,78,20210501,340
2400,0,2400,0,2958,64,87974,77,20210801,4265
0,180,0,0,582,39,39235,138,20211201,1888
0,0,-11000,0,4552,41,39441,121,20211201,6139
9209.93,9209.93,0,0,4624,63,39661,113,20210801,6718
1080487.04,1080487.04,1080487.04,0,0,0,421,33,20211001,420
74,74,74,0,40,3,5880,122,20211001,1178
19040,0,19040,0,2907,64,87871,77,20211201,4162
93088.55,93088.55,0,0,4967,41,8603,50,20210701,8263
1200,0,1200,0,2642,64,87263,77,20210401,3554
13457.81,0,0,0,4573,30,39519,114,20211201,6360
22946.03,0,0,0,811,16,64240,51,20211101,2441
0,0,-5549.78,0,4707,36,65085,121,20211201,7064
21222.96,21222.96,21222.96,0,0,0,674,99,20210301,673
0,0,481.8,0,5073,31,8720,94,20211001,8725
0,0,-1372,0,222,41,38864,138,20211201,1383
0,418,0,0,2402,71,7004,77,20211101,3353
10000,10000,10000,0,1327,40,6442,110,20210301,2787
206373.53,206373.53,206373.53,0,0,0,79,41,20211101,78
0,286,0,0,2138,71,6836,77,20211201,3182
0,0,21760,0,3180,64,88466,78,20211201,4757
0,0,-176,0,562,39,39181,138,20211001,1831
298.4,0,0,0,259,39,38923,138,20211001,1443
303.88,0,303.88,0,2057,71,6713,74,20210801,3059
0,0,3370.61,0,4566,21,7860,121,20210401,6223
29757.04,29757.04,29757.04,0,0,0,336,78,20210501,335
3180,0,3180,0,2871,64,87786,77,20210401,4077
0,0,643446.98,0,4599,31,65002,65,20210801,6459
74386.42,74386.42,74386.42,0,0,0,408,33,20211001,407
0,0,18,0,2190,3,6904,134,20210301,3250
2500,2500,0,0,3687,71,64806,122,20210401,5548
0,7858.55,0,0,4573,30,64975,32,20211201,6349
7600,7600,7600,0,4641,16,8149,78,20211201,6837
0,56880,0,0,4618,30,65023,8,20211101,6576
0,0,0,0,4767,3,8288,95,20210801,7381
5482.8,5482.8,5482.8,0,541,71,6123,32,20210701,1812
567.1,0,567.1,0,2175,71,6880,74,20210501,3226
0,0,57,0,4559,3,7829,121,20210901,6187
297.36,0,0,0,4646,37,39676,121,20211101,6848
0,0,20000,0,4882,31,40188,121,20210101,7963
202960.22,202960.22,202960.22,0,0,0,552,21,20210301,551
2720,2720,0,0,2688,64,87357,77,20210901,3648
0,0,22260,0,2747,64,87517,77,20211201,3808
18465.8,18465.8,0,0,4816,71,40055,74,20210201,7649
2400,0,2400,0,2876,64,87796,77,20211001,4087
-1333.33,-1333.33,0,0,3685,71,64798,122,20210601,5540
45914.47,45914.47,45914.47,0,0,0,164,31,20210501,163
7858.55,7858.55,0,0,4573,30,64976,32,20211201,6350
-68.75,-68.75,-68.75,0,0,0,266,77,20210301,265
286954.09,286954.09,286954.09,0,0,0,99,29,20211001,98
431.78,431.78,431.78,0,0,0,213,69,20210401,212
0,0,1000,0,1185,40,6376,110,20210301,2721
12944,12944,0,0,4906,21,8525,121,20211201,8052
0,0,9431.88,0,4644,16,65060,77,20210201,6841
0,0,1211,0,4767,3,8289,95,20210801,7382
698153.43,698153.43,698153.43,0,0,0,827,24,20210201,826
6933.91,6933.91,6933.91,0,0,0,85,41,20211101,84
0,92456.96,0,0,4115,71,7624,121,20211101,5875
6337.5,6337.5,0,0,5385,71,40884,104,20210501,9815
2400,2400,0,0,2688,64,87356,77,20210901,3647
0,0,-5000,0,660,3,39340,110,20211101,2024
2160,2160,2160,0,1574,40,6508,110,20210701,2853
300,0,300,0,3651,71,7354,127,20210301,5466
0,0,2000,0,512,21,6099,121,20210301,1788
0,280.5,0,0,2137,71,6834,78,20211001,3180
0,0,3640.14,0,5040,30,40367,49,20210801,8516
101807.5,101807.5,101807.5,0,0,0,938,92,20210901,937
7308,0,0,0,4744,30,65208,72,20211001,7308
321.96,0,321.96,0,2282,71,6967,98,20210401,3313
1500,1500,0,0,3350,41,39404,50,20210801,4936
69231.38,69231.38,69231.38,0,0,0,134,31,20211201,133
0,10000,0,0,1319,40,6439,110,20210401,2784
21994.2,21994.2,0,0,5361,30,40842,51,20210901,9737
3369.33,3369.33,3369.33,0,0,0,263,77,20210301,262
563048.07,563048.07,563048.07,0,0,0,799,24,20210901,798
0,0,99820.8,0,4816,41,8400,65,20210701,7753
0,0,43299.22,0,4900,30,65333,78,20210801,8037
0,190000,0,0,4661,31,39705,51,20210801,6899
0,0,1490,0,5282,21,9046,121,20211001,9530
0,1099,0,0,5045,30,65533,121,20210501,8539
35062.5,0,0,0,4790,30,65251,98,20211101,7478
165479.83,165479.83,165479.83,0,0,0,739,26,20210201,738
229087.52,229087.52,229087.52,0,0,0,604,61,20211101,603
1002.71,1002.71,1002.71,0,4624,71,8068,78,20211001,6728
2209.03,2209.03,0,0,4480,71,64881,121,20210401,5999
3538.77,3538.77,3538.77,0,4254,71,7662,121,20211001,5913
0,24753.2,0,0,5385,71,40883,104,20210501,9814
2244.34,0,0,0,5081,30,65602,121,20210501,8753
3840,3840,0,0,5360,31,40834,132,20210501,9729
43654.38,0,0,0,5499,30,40932,49,20211201,9945
0,0,73080,0,4744,30,65170,72,20210201,7266
500,0,500,0,2856,64,87758,121,20211101,4049
33000,33000,33000,0,4641,16,8148,78,20211201,6836
0,0,21927.25,0,4900,30,65332,78,20210801,8036
2052.89,2052.89,2052.89,0,4053,71,7591,121,20210901,5842
1500,1500,1500,0,1439,40,6477,110,20210401,2822
0,0,0,0,0,0,303,77,20211101,302
0,250,0,0,4774,16,65232,121,20210401,7432
734,734,734,0,0,0,62,27,20210801,61
15000,15000,15000,0,4743,40,8268,94,20211201,7245
504,0,0,0,4816,41,40112,114,20210601,7726
1497.6,1497.6,0,0,5081,30,65601,121,20210501,8752
0,0,-8000,0,5045,30,40380,123,20210201,8560
14340,14340,0,0,5119,31,40504,51,20210501,8896
2400,2400,2400,0,1652,40,6527,110,20210701,2872
107.82,107.82,107.82,0,2440,71,7017,98,20210901,3367
400,0,400,0,3645,71,7340,127,20210201,5452
3700,3700,0,0,4959,3,8554,136,20210301,8183
0,4246,0,0,4771,30,65222,98,20211201,7398
0,0,204959.35,0,5223,31,65728,78,20211001,9393
0,407,0,0,5252,31,65767,121,20210801,9471
344.8,0,0,0,3517,71,64508,121,20210701,5126
34664,0,34664,0,3704,41,7381,50,20210201,5575
65000,0,65000,0,4624,71,8058,121,20211201,6711
2106,2106,2106,0,67,71,5904,68,20211001,1211
0,0,1155.5,0,4559,3,7838,121,20210201,6196
1575,1575,0,0,4816,71,40125,122,20210901,7759
18960,18960,18960,0,5056,31,8694,132,20210701,8661
1200,0,1200,0,2893,64,87830,77,20210401,4121
0,0,297000,0,5045,30,40379,122,20210101,8559
32760,32760,32760,0,0,0,50,41,20210301,49
-429,-429,-429,0,0,0,945,92,20210901,944
0,7308,0,0,4744,30,65207,72,20211001,7307
0,4246,0,0,4771,30,65223,98,20211201,7399
33461.67,0,0,0,4771,30,65228,68,20211201,7415
377.66,377.66,0,0,806,16,6214,122,20210701,2415
2720,0,2720,0,2733,64,87481,78,20210501,3772
19040,0,19040,0,2744,64,87507,78,20211201,3798
0,0,5309.41,0,2343,71,6984,37,20211001,3330
